Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,NC,2019,12,Male,17,Right-Handed,182.9,25,175.3,1,Car,3,0.454,40,Soccer,500,600,500,850,900,950,25,Same length,80,75,Index finger,December,Summer,No,No,Meat,Water,Science,6,9,5,Yes - broadband connection,Myspace Facebook other social networking sites or blog,10,10,7,0,6,7,6,3,5,1,2,2,5,5,A lot,Graduate degree,Rap/Hip hop,Fly,Happy,Sports person,Health
USA,WI,2019,12,Male,17,Right-Handed,185,26,186,1,Car,25,.120,44,Basketball,626,840,246,369,390,904,25,Right foot,90,89,Index finger,June,Summer,No,No,Meat,Water,Science,8,10,4,Yes - broadband connection,Text messaging,45,50,18,1,10,7,24,2,35,3,26,12,0,4,A lot,Graduate degree,Rap/Hip hop,Freeze time,Happy,Relative,Health
USA,WA,2019,12,Male,18,Right-Handed,188,30,197.5,1,Car,10,.293,42,Football (American),5,5,4,3,7,9,29.46,Right foot,86.36,88.9,Ring finger,June,Summer,No,No,Meat,Water,Physical education,8,,7,Yes - broadband connection,Text messaging,10,15,10,2,.3,1,15,1,3,1,2,4,0,1,Very little,Graduate degree,Country,Fly,Rich,Sports person,Health
USA,CA,2019,11,Male,17,Right-Handed,185,27.94,184,2,Car,15,.334,40,Soccer,,,,,,,28,Left foot,,,Ring finger,February,Summer,Yes,No,Pizza/Pasta,Water,Languages,9,5,5,Yes - dial-up connection,In person,200,200,,,,,,,,,,,,,A lot,Undergraduate degree,Rap/Hip hop,Telepathy,Rich,Business person,Religious
USA,SC,2019,12,Male,16,Right-Handed,179,28,175,1,Car,18,0.322,43,Other,877,487,594,690,209,389,28,Same length,100,90,Index finger,May,Fall,No,Yes,Desserts,Water,Music,3,1,5,Yes - broadband connection,In person,40,15,2,0,0,0,0,7,2,1,3,0,0,0,None,Graduate degree,Other,Freeze time,Rich,Other,
USA,CA,2019,9,Female,15,Right-Handed,158,20,150,2,Car,6,0.324,40,Hockey (Field),923,941,973,847,741,883,20,Same length,70,70,Same length,December,Fall,No,No,Rice/Noodle dishes,Water,Science,7,8,5,Yes - broadband connection,Internet chat or instant messaging,25,30,14,7,20,4,4,2,9,7,17,0,0,2,Some,Graduate degree,Pop,Fly,Healthy,Teacher,Environment
USA,TN,2019,11,Male,17,Right-Handed,177,84,176,1,Car,6,0.741,51,Other,750,800,850,700,300,450,26,Left foot,75,70,Index finger,June,Fall,Yes,No,Pizza/Pasta,Water,Art,6,9,5,Yes - other,Text messaging,43,34,6,.5,8,10,18,30,8,3,2,9,25.15,4,Some,Some college,Heavy metal,Super strength,Rich,Relative,Environment
USA,CA,2019,9,Female,14,Right-Handed,160,23,160,2,Car,5,0.392,35,Basketball,75,230,439,385,48,845,23,Same length,73,74,Ring finger,July,Fall,Yes,No,Seafood,Water,Mathematics and statistics,7,10,4,Yes - broadband connection,Internet chat or instant messaging,100,150,3,1,40,7,7,0,5,20,65,2,0,1,A lot,Graduate degree,Gospel,Telepathy,Happy,Friend,International aid
USA,TX,2019,12,Male,19,Right-Handed,188,25,188,1,Bus,10,.33,33,Gymnastics,791,1000,727,914,1000,1000,25,Same length,102,113,Ring finger,May,Winter,Yes,No,Rice/Noodle dishes,Tea,Music,6-7,8,4,Yes - broadband connection,Internet chat or instant messaging,20,20,8,0,15,2,0,24,1,0,24,4,8,4,Some,Graduate degree,Punk rock,Fly,Happy,Relative,Health
USA,MD,2019,12,Female,17,Right-Handed,174,25,180,1,Car,16,0.367,38,Hockey (Field),1000,660,790,800,580,830,26,Left foot,78,76,Ring finger,August,Summer,Yes,Yes,Salads,Water,Science,8.5,9,5,Yes - broadband connection,In person,47,73,6,0.5,17,3,12,0,4,1,15,2,1,1,A lot,Graduate degree,Other,Fly,Happy,Community leader or elder,International aid
