Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation,School
USA,OR,2016,12,Male,18,Right-Handed,164,25,158,2,Bus,10,0.426,45,Basketball,900,800,850,800,700,900,25,Same length,70,70,Same length,August,Summer,No,No,Rice/Noodle dishes,Water,Art,7,12,2,Yes - broadband connection,Internet chat or instant messaging,30,100,20,2,5,8,12,3,7,4,10,3,0,4,Some,Graduate degree,Rap/Hip hop,Freeze time,Rich,Sports person,Religious,high
USA,OR,2017,12,Male,17,Right-Handed,175,25,175,1,Car,5,0.35,41,Tennis,700,500,300,400,600,800,24,Right foot,65,70,Ring finger,July,Summer,No,No,Meat,Water,Mathematics and statistics,8,8,2,Yes - broadband connection,Other,50,60,30,1,5,1,12,5,3,25,7,3,0,4,Some,Graduate degree,Rap/Hip hop,Freeze time,Rich,Relative,Education/Youth development,high
USA,OR,2015,12,Male,17,Right-Handed,77,27,180,1,Car,12,0.306,41,None,820,910,910,820,850,930,26,Right foot,97,102,Ring finger,June,Winter,No,No,Seafood,Water,Music,5,9,3,Yes - broadband connection,Text messaging,100,100,8,2,5,4,2,6,8,5,10,1,0,4,,Graduate degree,Jazz,Telepathy,Rich,Friend,"Wildlife, animals",high
USA,OR,2017,12,Female,16,Right-Handed,175,24,172,1,Car,10,0.372,45,Tennis,500,500,500,500,600,900,25,Left foot,70,65,Index finger,September,Summer,Yes,No,Salads,Water,History,8,9,3,Yes - broadband connection,Other,10,8,28,1,5,5,7,1,7,28,7,0,20,4,Some,Graduate degree,Rock and roll,Freeze time,Rich,Relative,Education/Youth development,high
USA,OR,2019,10,Female,17,Right-Handed,174,30,169,2,Car,10,0.426,32,Gymnastics,300,200,500,500,700,1000,30,Same length,85,85,Same length,March,Fall,No,No,Fruit,Water,Music,6,12,3,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",300,300,40,10,1,0,20,5,168,168,168,40,100,3,Some,High school,Pop,Fly,Rich,Doctor or nurse,Education/Youth development,high
USA,OR,2018,9,Female,13,Right-Handed,166,25,168,1,Car,10,0.439,41,Skateboarding/Rollerblading,900,700,300,300,0,1000,25,Same length,7,7,Same length,December,Winter,No,No,Desserts,Coffee,Science,8,5,4,Yes - other,Text messaging,8,5,2,0,0,1,0,2,3,4,3,12,0,3,None,Graduate degree,Other,Invisibility,Rich,Musician or singer,"Arts, culture, sports",high
USA,OR,2019,9,Female,15,Right-Handed,160,24.1,149,1,Bus,21,0.559,56,Basketball,840,866,200,200,1000,1000,23,Right foot,6,5,Ring finger,March,Summer,No,No,No favorite,Water,Other,8,,5,Yes - other,Text messaging,10,1,3,1,1,3,7,1,1,9,9,11,0,3,Some,Some college,Country,Invisibility,Rich,Other,Health,high
USA,OR,2015,12,Male,17,Right-Handed,200,30,202,1,Car,7,0.298,47,Baseball/Softball,900,850,900,800,700,700,30,Same length,90,100,Ring finger,January,Winter,Yes,No,Meat,Milk,Mathematics and statistics,8,10,4,Yes - broadband connection,Text messaging,100,98,4,1,10,6,25,2,2,2,1,10,0,3,Some,Undergraduate degree,Rap/Hip hop,Fly,Rich,Sports person,Health,high
USA,OR,2019,10,Female,17,Right-Handed,158,23,159,1,Car,10,0.71,37,Baseball/Softball,500,800,700,400,20,100,23,Same length,77,76,Index finger,July,Summer,No,No,Breads/Sandwiches,Soft drink (caffeinated),Physical education,7,12,6,Yes - other,"Myspace, Facebook, other social networking sites, or blog",100,120,10,5,7,9,2,1,9,10,8,8,10,3,A lot,Some college,Country,Telepathy,Rich,Relative,"Wildlife, animals",high
USA,OR,2012,12,Female,17,Right-Handed,181,26,184,2,Car,10,0.485,64,Swimming,697,535,321,433,545,930,26,Same length,95,96,Ring finger,January,Fall,No,No,No favorite,Water,Geography,8,10,4,Yes - broadband connection,In person,4,5,9,2,18,12,16,0,1,2,16,7,10,3,Some,Graduate degree,Techno/Electronic,Fly,Rich,Doctor or nurse,International aid,high
